lambda_um,width_um,height_um,n_eff_TE,n_eff_TM
0.75,0.925,0.7,1.94682275868678,1.941700210713
0.75,0.925,0.725,1.94940329709927,1.94513383310836
0.75,0.925,0.75,1.95180312223466,1.9482810475565
0.75,0.925,0.775,1.95400606249047,1.95115699239825
0.75,0.925,0.8,1.9560422115208,1.95379586957895
0.75,0.925,0.825,1.95792904758538,1.95622359960823
0.75,0.925,0.85,1.95968259545816,1.95846319283594
0.75,0.925,0.875,1.9613180865312,1.9605354586961
0.75,0.925,0.9,1.96285090793158,1.96245973319451
0.75,0.925,0.925,1.96430154364229,1.96425129201499
0.75,0.925,0.95,1.96567593862931,1.9659447357798
0.75,0.925,0.975,1.9670179330308,1.96754825885895
0.75,0.925,1,1.96836411270458,1.96910231626884
0.75,0.95,0.6,1.93548148844215,1.92539589492552
0.75,0.95,0.625,1.93917968922485,1.93049810467984
0.75,0.95,0.65,1.9425678550669,1.93509005683658
0.75,0.95,0.675,1.94564443547598,1.93925692582251
0.75,0.95,0.7,1.9484776883992,1.94302961374706
0.75,0.95,0.725,1.95106251628702,1.94647249553123
0.75,0.95,0.75,1.95345428928049,1.94960712644836
0.75,0.95,0.775,1.95565549232027,1.95248155745858
0.75,0.95,0.8,1.95769000442157,1.9551190203399
0.75,0.95,0.825,1.95957528593825,1.95754542554041
0.75,0.95,0.85,1.96132733705369,1.9597837753543
0.75,0.95,0.875,1.96296134538925,1.96185488195692
0.75,0.95,0.9,1.96449255848356,1.96377816526859
0.75,0.95,0.925,1.96593765119849,1.96557262873501
0.75,0.95,0.95,1.96731905254106,1.96725626107078
0.75,0.95,0.975,1.96865442481694,1.96886321687555
0.75,0.95,1,1.96999858297923,1.97041531266556
0.75,0.975,0.6,1.93702524540558,1.92663718592038
0.75,0.975,0.625,1.94071408527582,1.93172359540495
0.75,0.975,0.65,1.94410859423723,1.93632720649388
0.75,0.975,0.675,1.947177021619,1.94048072799938
0.75,0.975,0.7,1.95001572943778,1.94426315026614
0.75,0.975,0.725,1.95259344345909,1.94769462207896
0.75,0.975,0.75,1.95498993602394,1.95083753411455
0.75,0.975,0.775,1.95719001379212,1.95371054504616
0.75,0.975,0.8,1.95922345675577,1.95634668370826
0.75,0.975,0.825,1.9611077129088,1.95877185061158
0.75,0.975,0.85,1.96285876585876,1.96100903843487
0.75,0.975,0.875,1.96449177785586,1.96307905145201
0.75,0.975,0.9,1.96602194860223,1.96500131168375
0.75,0.975,0.925,1.9674658093081,1.96679489850468
0.75,0.975,0.95,1.96884340204339,1.96848007980207
0.75,0.975,0.975,1.9701828212291,1.97008039256092
0.75,0.975,1,1.97152171970035,1.97163446271134
0.75,1,0.6,1.93846911237047,1.9278091027522
0.75,1,0.625,1.94216322053106,1.93290736343304
0.75,1,0.65,1.94554802712007,1.93749515870308
0.75,1,0.675,1.94862098986672,1.94165861688895
0.75,1,0.7,1.9514512675642,1.94542763750201
0.75,1,0.725,1.95403292186486,1.94886760781293
0.75,1,0.75,1.95642207489245,1.95199901821008
0.75,1,0.775,1.95862059027168,1.95487066525437
0.75,1,0.8,1.96065256468813,1.95750553021712
0.75,1,0.825,1.96253543167395,1.95992950268506
0.75,1,0.85,1.96428515739299,1.96216556354868
0.75,1,0.875,1.96591688103365,1.9642345038174
0.75,1,0.9,1.96744576836526,1.96615573054576
0.75,1,0.925,1.96888829277292,1.96794830979909
0.75,1,0.95,1.97026436339469,1.96963253077865
0.75,1,0.975,1.97160121638238,1.97123259868036
0.75,1,1,1.97294139307415,1.97278189261698
0.75,1.025,0.6,1.93981149782582,1.92889915896205
0.75,1.025,0.625,1.94349710823366,1.93398288062287
0.75,1.025,0.65,1.94688780180593,1.9385815224416
0.75,1.025,0.675,1.94995336051546,1.94273272080806
0.75,1.025,0.7,1.95278871962467,1.9465107887086
0.75,1.025,0.725,1.95536391090408,1.94994029460719
0.75,1.025,0.75,1.95775747291461,1.953079391881
0.75,1.025,0.775,1.95995502543189,1.95594977924665
0.75,1.025,0.8,1.96198608679328,1.95858346930338
0.75,1.025,0.825,1.96386808057861,1.96100634193313
0.75,1.025,0.85,1.96561696042966,1.96324136765435
0.75,1.025,0.875,1.96724784842381,1.96530932568135
0.75,1.025,0.9,1.96877588506633,1.96722960873531
0.75,1.025,0.925,1.97021750343415,1.96902126461543
0.75,1.025,0.95,1.97159254188803,1.97070456001347
0.75,1.025,0.975,1.97292809095667,1.97230368482403
0.75,1.025,1,1.97426626559992,1.97385213763172
0.75,1.05,0.6,1.94107235458404,1.92993168238368
0.75,1.05,0.625,1.94476281634179,1.935026357264
0.75,1.05,0.65,1.94814460662085,1.93961041822714
0.75,1.05,0.675,1.95121435993047,1.94377079354517
0.75,1.05,0.7,1.95404197858839,1.94753653303297
0.75,1.05,0.725,1.95662082599143,1.95097387907247
0.75,1.05,0.75,1.95900764588986,1.9541024157832
0.75,1.05,0.775,1.961203785026,1.95697157154778
0.75,1.05,0.8,1.96323351996291,1.95960411280933
0.75,1.05,0.825,1.96511426153985,1.96202590915788
0.75,1.05,0.85,1.96686194843088,1.96425991991874
0.75,1.05,0.875,1.968491683653,1.96632691125993
0.75,1.05,0.9,1.97001858136293,1.96824625946725
0.75,1.05,0.925,1.97145903523316,1.97003698995937
0.75,1.05,0.95,1.97283281996251,1.97171933661468
0.75,1.05,0.975,1.97416691428677,1.97331743737798
0.75,1.05,1,1.97550321741308,1.97486469863668
0.75,1.075,0.6,1.94224670123023,1.93089404512711
0.75,1.075,0.625,1.94592939451457,1.93597528673915
0.75,1.075,0.65,1.94931669814249,1.94056948283574
0.75,1.075,0.675,1.95237967902783,1.94471855019171
0.75,1.075,0.7,1.95521207234867,1.94849273502497
0.75,1.075,0.725,1.95778500468288,1.95192044320057
0.75,1.075,0.75,1.96017597767543,1.95505614633918
0.75,1.075,0.775,1.96237129208726,1.95792418228078
0.75,1.075,0.8,1.96440024578663,1.96055567933132
0.75,1.075,0.825,1.96628024113542,1.96297649821894
0.75,1.075,0.85,1.96802720631752,1.96520958871573
0.75,1.075,0.875,1.96965623026893,1.96727570590344
0.75,1.075,0.9,1.97118240682719,1.96919421202196
0.75,1.075,0.925,1.97262209841424,1.97098411296097
0.75,1.075,0.95,1.97399502860072,1.97266561280807
0.75,1.075,0.975,1.9753280863723,1.9742627994263
0.75,1.075,1,1.97666299831091,1.97580898446097
0.75,1.1,0.6,1.94335425441094,1.9318084323463
0.75,1.1,0.625,1.94704145783546,1.93689984696326
0.75,1.1,0.65,1.95042053485767,1.94148054536432
0.75,1.1,0.675,1.95348743079255,1.94563812867566
0.75,1.1,0.7,1.9563126668687,1.94940092439931
0.75,1.1,0.725,1.95888902174208,1.95283589949561
0.75,1.1,0.75,1.9612737571312,1.95596186451542
0.75,1.1,0.775,1.96346778615858,1.9588287848638
0.75,1.1,0.8,1.9654955350239,1.96145924258775
0.75,1.1,0.825,1.96737439464093,1.96387908886808
0.75,1.1,0.85,1.96912027991564,1.96611126318508
0.75,1.1,0.875,1.97074826309351,1.96817650869594
0.75,1.1,0.9,1.97227341522556,1.97009417263176
0.75,1.1,0.925,1.97371206507548,1.97188324030546
